word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
bullet;9610;3.36;18.043;3765;--;--;1686
busted;9611;3.36;13.056;--;--;--;3345
critic;9612;3.36;13.211;--;--;2126;--
dammit;9613;3.36;17.930;2932;--;--;--
deleted;9614;3.36;14.813;3995;--;--;--
dentist;9615;3.36;16.874;2037;--;--;--
forbidden;9616;3.36;17.930;--;--;--;4794
killin;9617;3.36;19.458;--;--;--;2942
syndrome;9618;3.36;10.835;--;2810;--;--
tornado;9619;3.36;18.268;4095;--;--;--
weapon;9620;3.36;16.630;4593;--;4391;2927
emptiness;9621;3.35;19.731;--;--;--;2413
injection;9622;3.35;15.776;--;4591;--;--
burnt;9623;3.34;19.337;--;--;--;3098
complicated;9624;3.34;16.977;4545;3262;3941;3547
crap;9625;3.34;16.489;900;--;--;3525
never;9626;3.34;12.390;148;163;239;48
politicians;9627;3.34;11.359;--;4639;2213;--
tired;9628;3.34;11.178;365;3706;4272;522
traffic;9629;3.34;16.489;982;2737;1765;2810
unfair;9630;3.34;20.062;--;--;--;4966
vulnerable;9631;3.34;15.066;--;--;4584;--
warning;9632;3.34;14.230;2329;3783;3137;1974
fucker;9633;3.33;22.057;--;--;--;2823
sinner;9634;3.33;18.426;--;--;--;3644
envy;9635;3.33;15.463;--;--;--;3550
whack;9636;3.32;14.345;--;--;--;4578
alone;9637;3.32;17.313;485;587;1598;169
bleeds;9638;3.32;18.120;--;--;--;4330
cannot;9639;3.32;0.9781;1045;270;733;637
confusion;9640;3.32;13.619;--;2927;--;1888
couldn't;9641;3.32;11.328;--;--;--;--
expenses;9642;3.32;13.468;--;3168;2134;--
ignored;9643;3.32;15.043;--;4481;--;4791
nigga;9644;3.32;20.548;607;--;--;154
noose;9645;3.32;22.172;--;--;--;4964
opposed;9646;3.32;14.061;--;2153;2269;--
restrictions;9647;3.32;0.957;--;4020;3261;--
scars;9648;3.32;17.313;--;--;--;2025
shots;9649;3.32;20.146;2042;--;2455;1534
savage;9650;3.31;19.473;--;--;--;4532
choke;9651;3.31;16.858;--;--;--;2233
cigarettes;9652;3.31;25.997;--;--;--;3279
doubts;9653;3.3;14.321;--;--;--;3488
fool;9654;3.3;12.657;1984;--;--;414
fury;9655;3.3;17.757;--;--;--;4205
lowest;9656;3.3;11.650;--;3703;4382;--
suckers;9657;3.3;17.053;--;--;--;2917
whip;9658;3.3;17.409;--;--;--;1745
helpless;9659;3.29;20.207;--;--;--;2669
rats;9660;3.29;18.930;--;4903;--;3465
conspiracy;9661;3.28;14.574;--;--;4227;--
crashing;9662;3.28;18.848;--;--;--;2715
falling;9663;3.28;15.391;1161;2877;3324;429
fools;9664;3.28;14.003;4611;--;--;1119
lazy;9665;3.28;14.574;763;--;--;2042
nuclear;9666;3.28;17.847;4776;2173;1034;4845
scar;9667;3.28;14.574;--;--;--;3561
suspicious;9668;3.28;13.708;--;--;--;--
scarred;9669;3.27;20.287;--;--;--;4428
screamed;9670;3.27;16.429;--;--;--;4265
cough;9671;3.26;14.957;2919;--;--;--
damned;9672;3.26;19.672;--;--;--;2154
frown;9673;3.24;17.504;--;--;--;2882
pimps;9674;3.24;20.466;--;--;--;4521
vengeance;9675;3.24;19.097;--;--;--;4692
canceled;9676;3.24;15.722;--;--;4264;--
cavity;9677;3.24;18.245;--;4911;--;--
delayed;9678;3.24;11.877;2615;4997;3030;--
dull;9679;3.24;12.216;3974;4961;--;4775
